portfolio,scenario,hour,highs_load_shed_mw,gurobi_load_shed_mw,abs_diff_mw,thermal_avail_mw,vre_output_mw,load_mw,highs_storage_discharge_mw,highs_storage_charge_mw,highs_soc_mwh,gurobi_storage_discharge_mw,gurobi_storage_charge_mw,gurobi_soc_mwh,window_start,window_end,inside_window,dispute_type
VRE120_base,15,4934,0.0,290.65135519999876,290.65135519999876,7331.0,1794.2,9415.851355199999,290.65135519999876,0.0,3625.6265708511264,0.0,0.0,3932.0,4145,6260,true,Gurobi_only
VRE120_base,15,4940,48.61513246537652,0.0,48.61513246537652,7351.0,128.2,8260.0971888,732.2820563346241,0.0,409.70621323123896,780.8971888000005,0.0,409.70621323123896,4145,6260,true,HiGHS_only
VRE120_base,15,4990,0.0,258.87819559999934,258.87819559999934,6984.0,160.60000000000002,7403.4781956,258.87819559999934,0.0,0.0,0.0,0.0,0.0,4145,6260,true,Gurobi_only
VRE120_base,15,5008,0.0,617.8298820653779,617.8298820653779,7339.0,1577.6000000000001,9595.9810848,679.3810847999994,0.0,3157.5265332019153,61.551202734621434,0.0,3867.1193355452706,4145,6260,true,Gurobi_only
VRE120_base,15,5010,897.4148731999994,0.0,897.4148731999994,7339.0,781.8000000000002,9018.2148732,0.0,0.0,2265.465723299326,897.4148731999994,0.0,2029.1001905016153,4145,6260,true,HiGHS_only
VRE120_base,15,5013,0.0,224.23603319999893,224.23603319999893,7339.0,736.1,8299.3360332,224.23603319999893,0.0,0.0,0.0,0.0,0.0,4145,6260,true,Gurobi_only
VRE120_base,15,5030,0.0,571.5657611999995,571.5657611999995,6984.0,1752.6,9308.1657612,571.5657611999995,0.0,3329.516787346702,0.0,0.0,3932.0,4145,6260,true,Gurobi_only
VRE120_base,15,5034,849.1877032000002,0.0,849.1877032000002,6984.0,660.1999999999999,8493.3877032,0.0,0.0,1705.3607328436983,849.1877032000002,0.0,1705.3607328436983,4145,6260,true,HiGHS_only
VRE120_base,16,5414,0.0,39.54911846537644,39.54911846537644,7706.0,1408.7,9394.130548799998,279.4305487999982,0.0,3637.4543393203917,239.88143033462174,0.0,3679.1427705878627,4074,6259,true,Gurobi_only
VRE120_base,16,5420,39.54911846537652,0.0,39.54911846537652,7351.0,584.0,8051.156771999999,76.60765353462273,0.0,0.0,116.15677199999936,0.0,0.0,4074,6259,true,HiGHS_only
VRE120_base,18,4934,0.0,350.65135519999876,350.65135519999876,7271.0,1794.2,9415.851355199999,350.65135519999876,0.0,3562.381017647759,0.0,0.0,3932.0,4075,6259,true,Gurobi_only
VRE120_base,18,4935,0.0,54.352758465379,54.352758465379,7271.0,1544.0999999999997,9613.691175599999,798.5911755999996,0.0,2720.592006245265,744.2384171346205,0.0,3147.503826552038,4075,6259,true,Gurobi_only
VRE120_base,18,4937,798.1166931999996,0.0,798.1166931999996,7271.0,1066.5,9135.6166932,0.0,0.0,1983.8124822077482,798.1166931999996,0.0,1569.4354394765812,4075,6259,true,HiGHS_only
VRE120_base,18,4940,505.89718880000055,0.0,505.89718880000055,7626.0,128.2,8260.0971888,0.0,0.0,0.0,505.89718880000055,0.0,0.0,4075,6259,true,HiGHS_only
VRE120_base,18,5413,0.0,99.56357999999818,99.56357999999818,7261.0,1671.4999999999998,9032.063579999998,99.56357999999818,0.0,3827.050771733206,0.0,0.0,3932.0,4075,6259,true,Gurobi_only
VRE120_base,18,5418,0.0,44.651929265379124,44.651929265379124,7261.0,892.0,8596.3839216,443.38392159999967,0.0,562.513863896004,398.73199233462054,0.0,403.1806361364162,4075,6259,true,Gurobi_only
VRE120_base,18,5420,0.0,151.15677199999936,151.15677199999936,7316.0,584.0,8051.156771999999,151.15677199999936,0.0,0.0,0.0,0.0,0.0,4075,6259,true,Gurobi_only
VRE120_wind_hvy,1,4983,0.0,103.3378843999999,103.3378843999999,7450.0,1314.0,8867.3378844,103.3378843999999,0.0,3823.072305570939,0.0,0.0,3932.0,4579,6236,true,Gurobi_only
VRE120_wind_hvy,1,4984,0.0,410.80247046537403,410.80247046537403,7450.0,965.3000000000001,9035.9972088,620.6972087999993,0.0,3168.799999865237,209.89473833462526,0.0,3710.7515193258423,4579,6236,true,Gurobi_only
VRE120_wind_hvy,1,4987,514.1403548653743,0.0,514.1403548653743,7526.0,157.20000000000002,8488.237098,290.89674313462467,0.0,990.2524999970814,805.0370979999989,0.0,990.2524999970814,4579,6236,true,HiGHS_only
VRE120_wind_hvy,2,4983,0.0,52.33788439999989,52.33788439999989,7501.0,1314.0,8867.3378844,52.33788439999989,0.0,3876.831025793802,0.0,0.0,3932.0,4098,6235,true,Gurobi_only
