case,scenario_id,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,m1c_minus_m3_mwh,m2_minus_m3_mwh
VRE120_base_dur12h,12,19869.128942399977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_dur12h,13,23746.44494479997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_dur12h,14,18393.798245999984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_dur12h,15,43791.13605639996,1964.9060367999991,0.9551300511073899,1964.9060367999973,1964.9060367999982,1964.9060367999982,9.094947017729282e-13,-9.094947017729282e-13,0.0
VRE120_base_dur12h,16,23056.623701599965,63.42909079999299,0.9972489861646312,63.42909079999845,63.42909079999845,63.42909079999845,-5.4569682106375694e-12,0.0,0.0
VRE120_base_dur12h,17,14618.263687599972,1.8189894035458565e-12,0.9999999999999999,0.0,0.0,0.0,1.8189894035458565e-12,0.0,0.0
VRE120_base_dur12h,18,34907.47428799997,574.2569795999952,0.9835491684427766,574.2569795999971,574.2569795999971,574.2569795999971,-1.8189894035458565e-12,0.0,0.0
VRE120_base_dur12h,19,27280.860125999963,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_dur12h,20,30448.88220039996,7.275957614183426e-12,0.9999999999999998,0.0,0.0,0.0,7.275957614183426e-12,0.0,0.0
VRE120_base_dur2h,1,29464.531872399966,8588.03907536345,0.7085295937313688,8588.039075363442,8588.039075363438,8588.039075363438,1.0913936421275139e-11,3.637978807091713e-12,0.0
VRE120_base_dur2h,2,40276.92264119996,10429.820025061508,0.7410472463853863,10434.830031301502,10434.830031301497,10434.830031301497,-5.0100062399887975,5.4569682106375694e-12,0.0
VRE120_base_dur2h,3,35615.93109359997,11674.16411299612,0.672220723857647,11674.164112996128,11674.164112996128,11674.16411299613,-9.094947017729282e-12,-1.8189894035458565e-12,-1.8189894035458565e-12
VRE120_base_dur2h,4,49491.39154559995,19408.935900661498,0.6078320836305712,19408.935900661498,19408.9359006615,19408.9359006615,-3.637978807091713e-12,-3.637978807091713e-12,0.0
VRE120_base_dur2h,5,54383.20719439995,25258.112699894184,0.5355530870107434,25258.112699894187,25258.112699894184,25258.112699894184,0.0,3.637978807091713e-12,0.0
VRE120_base_dur2h,6,39633.035714399964,16705.269653396124,0.5785013852136853,16705.269653396128,16705.26965339612,16705.269653396124,0.0,3.637978807091713e-12,-3.637978807091713e-12
