model,case,scenario_id,eue_mwh,lolh_h
M1c,VRE120_base_ls1p25,14,6424.444941196145,14
M1c,VRE120_base_ls1p25,15,29998.46437858844,47
M1c,VRE120_base_ls1p25,16,4657.042967826908,14
M1c,VRE120_base_ls1p25,17,2206.04393619615,6
M1c,VRE120_base_ls1p25,18,13192.294199457676,29
M1c,VRE120_base_ls1p25,19,7778.947384457674,21
M1c,VRE120_base_ls1p25,20,6689.7115869576755,19
M2,VRE120_base_ls1p25,1,12579.896879076914,20
M2,VRE120_base_ls1p25,2,16150.160851088433,34
M2,VRE120_base_ls1p25,3,16752.729985707683,33
M2,VRE120_base_ls1p25,4,27414.528788588435,42
M2,VRE120_base_ls1p25,5,35460.71688733844,55
M2,VRE120_base_ls1p25,6,21865.560876576914,30
M2,VRE120_base_ls1p25,7,15039.83211440382,33
M2,VRE120_base_ls1p25,8,6277.411622011523,15
M2,VRE120_base_ls1p25,9,1854.287079946147,7
M2,VRE120_base_ls1p25,10,3038.5296678269124,9
M2,VRE120_base_ls1p25,11,17928.88829440382,32
M2,VRE120_base_ls1p25,12,3526.10275951153,6
M2,VRE120_base_ls1p25,13,6758.997118642288,18
M2,VRE120_base_ls1p25,14,6424.4449411961505,15
M2,VRE120_base_ls1p25,15,29998.46437858844,50
M2,VRE120_base_ls1p25,16,4657.042967826906,15
M2,VRE120_base_ls1p25,17,2206.04393619615,6
M2,VRE120_base_ls1p25,18,13192.294199457676,22
M2,VRE120_base_ls1p25,19,7778.947384457677,19
M2,VRE120_base_ls1p25,20,6689.7115869576755,21
M3,VRE120_base_ls1p25,1,12579.896879076914,22
M3,VRE120_base_ls1p25,2,16150.160851088429,35
M3,VRE120_base_ls1p25,3,16752.729985707687,30
M3,VRE120_base_ls1p25,4,27414.528788588435,41
M3,VRE120_base_ls1p25,5,35460.71688733844,49
M3,VRE120_base_ls1p25,6,21865.560876576914,33
M3,VRE120_base_ls1p25,7,15039.83211440382,35
M3,VRE120_base_ls1p25,8,6277.411622011523,15
M3,VRE120_base_ls1p25,9,1854.2870799461473,9
M3,VRE120_base_ls1p25,10,3038.5296678269124,12
M3,VRE120_base_ls1p25,11,17928.888294403823,35
M3,VRE120_base_ls1p25,12,3526.1027595115297,11
M3,VRE120_base_ls1p25,13,6758.997118642288,18
M3,VRE120_base_ls1p25,14,6424.4449411961505,14
M3,VRE120_base_ls1p25,15,29998.46437858844,47
M3,VRE120_base_ls1p25,16,4657.042967826906,14
M3,VRE120_base_ls1p25,17,2206.043936196149,6
M3,VRE120_base_ls1p25,18,13192.294199457674,29
M3,VRE120_base_ls1p25,19,7778.947384457675,21
M3,VRE120_base_ls1p25,20,6689.7115869576755,19
M1c,VRE120_base_pwr0p5x,1,8654.731640563445,23
M1c,VRE120_base_pwr0p5x,2,10792.750149028812,39
M1c,VRE120_base_pwr0p5x,3,11968.210871796124,34
M1c,VRE120_base_pwr0p5x,4,19618.4940798615,46
M1c,VRE120_base_pwr0p5x,5,25513.81454749418,55
M1c,VRE120_base_pwr0p5x,6,17025.849722563442,35
M1c,VRE120_base_pwr0p5x,7,9368.12051176343,38
M1c,VRE120_base_pwr0p5x,8,4148.144227698061,21
M1c,VRE120_base_pwr0p5x,9,1035.6534300653775,8
M1c,VRE120_base_pwr0p5x,10,1729.1672776980722,15
M1c,VRE120_base_pwr0p5x,11,12146.437944163426,37
M1c,VRE120_base_pwr0p5x,12,2197.7679376980695,13
M1c,VRE120_base_pwr0p5x,13,4214.204682898057,21
M1c,VRE120_base_pwr0p5x,14,4216.937878865374,14
M1c,VRE120_base_pwr0p5x,15,21546.591648854184,46
M1c,VRE120_base_pwr0p5x,16,3168.2355804980625,15
M1c,VRE120_base_pwr0p5x,17,731.2244152653766,7
M1c,VRE120_base_pwr0p5x,18,9189.99130259612,34
M1c,VRE120_base_pwr0p5x,19,3994.57985136343,25
M1c,VRE120_base_pwr0p5x,20,4141.924618898059,22
M2,VRE120_base_pwr0p5x,1,8654.731640563437,22
M2,VRE120_base_pwr0p5x,2,10792.750149028805,39
M2,VRE120_base_pwr0p5x,3,11968.210871796127,35
M2,VRE120_base_pwr0p5x,4,19618.494079861503,49
M2,VRE120_base_pwr0p5x,5,25513.814547494178,56
M2,VRE120_base_pwr0p5x,6,17025.849722563435,37
M2,VRE120_base_pwr0p5x,7,9368.120511763424,42
M2,VRE120_base_pwr0p5x,8,4148.144227698058,20
M2,VRE120_base_pwr0p5x,9,1035.6534300653784,7
M2,VRE120_base_pwr0p5x,10,1729.1672776980677,13
M2,VRE120_base_pwr0p5x,11,12146.437944163432,36
M2,VRE120_base_pwr0p5x,12,2197.767937698066,13
M2,VRE120_base_pwr0p5x,13,4214.204682898057,20
M2,VRE120_base_pwr0p5x,14,4216.937878865373,13
M2,VRE120_base_pwr0p5x,15,21546.591648854184,47
M2,VRE120_base_pwr0p5x,16,3168.2355804980625,10
M2,VRE120_base_pwr0p5x,17,731.2244152653748,7
M2,VRE120_base_pwr0p5x,18,9189.991302596118,30
M2,VRE120_base_pwr0p5x,19,3994.5798513634318,22
M2,VRE120_base_pwr0p5x,20,4141.9246188980605,20
M3,VRE120_base_pwr0p5x,1,8654.731640563437,23
M3,VRE120_base_pwr0p5x,2,10792.750149028809,39
M3,VRE120_base_pwr0p5x,3,11968.210871796127,34
M3,VRE120_base_pwr0p5x,4,19618.494079861503,46
M3,VRE120_base_pwr0p5x,5,25513.81454749418,55
M3,VRE120_base_pwr0p5x,6,17025.849722563435,35
M3,VRE120_base_pwr0p5x,7,9368.120511763427,38
M3,VRE120_base_pwr0p5x,8,4148.144227698058,21
M3,VRE120_base_pwr0p5x,9,1035.6534300653784,8
M3,VRE120_base_pwr0p5x,10,1729.1672776980681,15
M3,VRE120_base_pwr0p5x,11,12146.43794416343,37
M3,VRE120_base_pwr0p5x,12,2197.767937698066,13
M3,VRE120_base_pwr0p5x,13,4214.204682898058,21
M3,VRE120_base_pwr0p5x,14,4216.937878865374,14
M3,VRE120_base_pwr0p5x,15,21546.591648854188,46
M3,VRE120_base_pwr0p5x,16,3168.2355804980634,15
M3,VRE120_base_pwr0p5x,17,731.2244152653745,7
M3,VRE120_base_pwr0p5x,18,9189.99130259612,34
M3,VRE120_base_pwr0p5x,19,3994.5798513634336,25
M3,VRE120_base_pwr0p5x,20,4141.924618898061,22
M1c,VRE120_base_pwr0p5x_ls1p225,1,16585.472076361584,47
